Rooms,Area,Floor_Number,Total_Floors,Construction_Year,Is_First_Floor,Is_Last_Floor,Has_Garage,Is_Closed_Complex,District_Encoded,Construction_Type_Encoded,ext_has_gas,ext_has_tep,ext_is_luxury,ext_is_act16,Price
2,64,2,4,2027,0,0,1,1,100,5,0.0,0.0,1.0,0.0,125000
2,68,1,5,2020,1,0,1,1,19,5,1.0,0.0,0.0,0.0,258000
2,74,2,4,2026,0,0,1,0,13,5,1.0,0.0,0.0,0.0,160240
2,89,3,5,2025,0,0,1,0,17,5,1.0,1.0,0.0,1.0,265000
2,86,3,5,2026,0,0,1,1,19,5,1.0,0.0,1.0,1.0,229900
2,57,0,0,2025,1,1,1,0,17,4,0.0,1.0,0.0,0.0,169000
2,65,11,11,1970,0,1,1,0,12,5,1.0,1.0,0.0,0.0,255000
2,65,2,4,2026,0,0,1,0,16,5,0.0,0.0,0.0,1.0,123900
2,64,5,6,2025,0,0,1,0,20,4,1.0,1.0,0.0,0.0,164900
2,131,2,2,1990,0,1,1,0,100,5,0.0,0.0,0.0,0.0,157118
2,89,1,5,2025,1,0,1,1,13,5,0.0,0.0,0.0,1.0,267120
2,65,6,8,2025,0,0,1,0,15,4,0.0,0.0,0.0,0.0,179999
2,82,4,6,2020,0,0,1,1,15,5,1.0,0.0,1.0,0.0,355000
2,75,2,6,1980,0,0,1,0,15,4,1.0,1.0,0.0,0.0,226600
2,60,3,4,2027,0,0,1,1,14,5,0.0,0.0,0.0,0.0,117320
2,65,6,8,1980,0,0,1,0,22,4,1.0,1.0,0.0,0.0,189900
2,71,5,9,2025,0,0,1,0,31,5,0.0,0.0,0.0,0.0,249900
2,59,0,0,2026,1,1,1,0,22,5,0.0,0.0,0.0,0.0,130000
2,66,7,7,1990,0,1,1,0,21,4,0.0,0.0,0.0,0.0,145999
2,47,1,4,1960,1,0,1,0,23,5,1.0,1.0,0.0,0.0,115000
2,28,1,5,2025,1,0,1,0,31,4,1.0,0.0,0.0,0.0,135000
2,76,9,10,2018,0,0,1,0,21,5,1.0,1.0,0.0,0.0,263000
2,68,6,6,2025,0,1,1,0,21,5,1.0,0.0,0.0,0.0,135545
2,60,8,9,2025,0,0,1,0,21,4,1.0,0.0,0.0,0.0,155000
